Applicant,PermitLocation,locationdesc,operation_time
Akuranvyka USA Inc,601 03RD ST,"Truck located on the North side of 3rd Street, approximately 120 feet from the Brannon Street intersection - Indian street food, tikka masala burritos, samosas, naan, etc.","{'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00')}"
Akuranvyka USA Inc,727 SANSOME ST,"Truck located on the West side of Sansome Street, approximately 16 feet from the Gold Street intersection -- Indian street food, tikka masala burritos, samosas, naan, etc.","{'Tuesday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00')}"
Alfaro Truck,306 VALENCIA ST,Truck located approximately 30 linear feet south of the Valencia and 14th St. intersection.,"{'Friday': ('14:00', '22:00'), 'Saturday': ('14:00', '22:00'), 'Thursday': ('14:00', '22:00')}"
Anas Goodies Catering,1040 MARIPOSA ST,11:35am-11:40am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Anas Goodies Catering,1051 26TH ST,Set-up at 1500 Minnesota St: 11:20am-11:25am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Anas Goodies Catering,1082 PENNSYLVANIA AVE,12:40pm-12:45pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
Anas Goodies Catering,1090 26TH ST,11:50am-11:55am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Anas Goodies Catering,1255 22ND ST,12:12pm-12:17pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
Anas Goodies Catering,131 SHOTWELL ST,11:05am-11:15am,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Anas Goodies Catering,1315 ARMSTRONG AVE,8:40am-8:45am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
Anas Goodies Catering,133 SHIPLEY ST,9:45am-9:50am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
Anas Goodies Catering,1346 EDDY ST,Set-up at 1350 Eddy St: 8:55am-9:00am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
Anas Goodies Catering,1347 DONNER AVE,7:40am-7:50am,"{'Wednesday': ('07:00', '08:00'), 'Thursday': ('07:00', '08:00'), 'Friday': ('07:00', '08:00'), 'Monday': ('07:00', '08:00'), 'Tuesday': ('07:00', '08:00')}"
Anas Goodies Catering,1400 MINNESOTA ST,"8:20am-8:30am, 11:15am-11:20am","{'Wednesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Thursday': ('08:00', '09:00'), 'Monday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00')}"
Anas Goodies Catering,1411 MARKET ST,Set-up at 40 10th St: 10:00am-10:10am,"{'Thursday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Wednesday': ('10:00', '11:00')}"
Anas Goodies Catering,1420 CARROLL AVE,Set-up at 1440 Carroll Ave: 7:50am-7:55am,"{'Wednesday': ('07:00', '08:00'), 'Thursday': ('07:00', '08:00'), 'Friday': ('07:00', '08:00'), 'Monday': ('07:00', '08:00'), 'Tuesday': ('07:00', '08:00')}"
Anas Goodies Catering,150 OTIS ST,Set-up at 130 Otis St: 10:30am-10:35am,"{'Wednesday': ('10:00', '11:00'), 'Thursday': ('10:00', '11:00'), 'Tuesday': ('10:00', '11:00'), 'Monday': ('10:00', '11:00'), 'Friday': ('10:00', '11:00')}"
Anas Goodies Catering,1575 INDIANA ST,11:55am-12:00pm,"{'Wednesday': ('11:00', '12:00'), 'Thursday': ('11:00', '12:00'), 'Tuesday': ('11:00', '12:00'), 'Friday': ('11:00', '12:00'), 'Monday': ('11:00', '12:00')}"
Anas Goodies Catering,1750 FOLSOM ST,9:15am-9:20am,"{'Wednesday': ('09:00', '10:00'), 'Tuesday': ('09:00', '10:00'), 'Monday': ('09:00', '10:00'), 'Thursday': ('09:00', '10:00'), 'Friday': ('09:00', '10:00')}"
Anas Goodies Catering,2030 03RD ST,12:35pm-12:40pm,"{'Wednesday': ('12:00', '13:00'), 'Monday': ('12:00', '13:00'), 'Tuesday': ('12:00', '13:00'), 'Friday': ('12:00', '13:00'), 'Thursday': ('12:00', '13:00')}"
Anas Goodies Catering,208 PENNSYLVANIA AVE,8:35am-8:40am,"{'Wednesday': ('08:00', '09:00'), 'Friday': ('08:00', '09:00'), 'Monday': ('08:00', '09:00'), 'Tuesday': ('08:00', '09:00'), 'Thursday': ('08:00', '09:00')}"
