food_trucks,fav_count
May Catering,-1
Senor Sisig,15
John's Catering #5,-1
Quan Catering,-1
BH & MT LLC,-1
F & C Catering,-1
Liang Bai Ping,-1
D & T Catering,-1
The Chai Cart,1
Curry Up Now,5
Park's Catering,-1
"The New York Frankfurter Co. of CA, Inc. DBA: Annie's Hot Dogs",0
Creme Brulee To Go,-1
Anas Goodies Catering,-1
"San Francisco Street Foods, Inc.",-1
Let's Be Frank,3
Golden Catering,-1
Subs on Hubs,4
SF Cart Project,-1
Philz Coffee Truck,22
Munch A Bunch,-1
Natan's Catering,-1
Two G's Catering,-1
"Off the Grid Services, LLC",13
Halal Cart of San Francisco,2
Mike's Catering,-1
Steve's Mobile Deli,-1
"San Francisco Carts & Concessions, Inc. DBA Stanley's Steamers Hot Dogs",-1
Linda's Catering,-1
Eva's Catering,-1
The Huge Hotdog Concession,-1
Paradise Catering,-1
DO UC US Mobile Catering,-1
Scotch Bonnet,15
Mini Mobile Food Catering,-1
"Halal Cart, LLC",2
El Gallo Jiro,-1
La Jefa,-1
"Viet Duong Co., Ltd.",-1
Roadside Rotisserie Corporation / Country Grill,0
JapaCurry,13
San Pancho's Tacos,-1
Sanguchon,10
"Santana ESG, Inc.",-1
Giant Burrito,-1
Kettle Corn Star,-1
"Slider Shack, LLC.",6
Hiyaaa,2
Yummy Hot Dogs,-1
"Casey's Pizza, LLC",8
Tres Agaves Mexican Kitchen & Tequila Lounge LLC. dba Tres Truck,7
El Calamar Perubian Food Truck,0
"Bay Area Dots, LLC",-1
CARDONA'S FOOD TRUCK,-1
Tacos El Flaco,-1
Faith Sandwich,-1
Plaza Garibaldy,-1
Tacos El Ojo De Agua,-1
Tacos Santana,-1
"Kabob Trolley, LLC",1
Munch India,1
Buenafe,-1
"Chairman SF, LLC",4
Think is Good Inc.,-1
